id,product_id,designer,seller_id,sku,name,hsn_code,material,color,no_of_components,barcode,short_description,description,tags,gender,occasions,categories,product_url,created_at,updated_at
12,108,Dahlia,82,da23to005,Indigo Suri Top,6204,"100% Handwoven, Natural Dyed Malkha",INDIGO,1,"da23to005, da23to005xsindigo, da23to005sindigo, da23to005mindigo, da23to005lindigo, da23to005xlindigo, da23to0052xlindigo, da23to0053xlindigo",An indigo halter neck top.,"Make a statement with the Suri Halter Neck Top-where elegance meets versatility. Designed to flatter, this bold yet timeless piece features a chic halter neckline that highlights your shoulders and adds a touch of effortless sophistication. Whether you're styling it with tailored trousers for a power look, pairing it with denim for a casual day out, or layering it under a blazer for evening elegance, this top adapts to any occasion with ease. Crafted from premium handwoven fabric, it's as comfortable as it is stylish. A must-have piece that instantly elevates your wardrobe!","Indigo, Top, Malkha, Halterneck, handwoven, cotton, natural dye, v neck, women, casual",Women,"Office parties, Date night, Romantic Dinner, Anniversaries, First dates, Cruise Getaways, Summer Escapes, Art Exhibitions, Literature Festivals, Theatre opera, Brunches","Women, Tops, Blouses",https://thechicindian.com/product-details-sku/da23to005,23-11-2025 11:26,23-11-2025 11:26
13,117,Dahlia,82,da23bo007,Kora Suri Trouser,6204,100% Handwoven Cotton Ikat,INDIGO,1,"da23bo007, da23bo007xsindigo, da23bo007sindigo, da23bo007mindigo, da23bo007lindigo, da23bo007xlindigo, da23bo0072xlindigo, da23bo0073xlindigo",A statement tailored fit trouser with indigo checkered pattern.,"Bold, versatile, and effortlessly chic-the Suri Trouser is a statement piece that belongs in your wardrobe. Crafted from handwoven fabric, its tailored fit and eye-catching checkered pattern bring the perfect balance of structure and playfulness. Designed for both style and practicality, it features functional pockets to keep your essentials close. Whether paired with a crisp shirt for a power look or a relaxed tee for weekend ease, this trouser adapts to your every mood. Elevate your everyday style with a piece that's as bold and dynamic as you are!","Trouser, Kora, off-white, Ikat, Cotton, Handwoven, women, cotton",Women,"Office parties, Date night, Romantic Dinner, Anniversaries, First dates, Cruise Getaways, Summer Escapes, Art Exhibitions, Literature Festivals, Theatre opera, Brunches","Women, Bottoms, Pants & Trousers",https://thechicindian.com/product-details-sku/da23bo007,23-11-2025 11:26,23-11-2025 11:26
14,134,Dahlia,82,da23ja007,Kora Suri Blazer,6204,100% Handwoven Cotton Ikat,INDIGO,1,"da23ja007, da23ja007xsindigo, da23ja007sindigo, da23ja007mindigo, da23ja007lindigo, da23ja007xlindigo, da23ja0072xlindigo, da23ja0073xlindigo",A double-breasted blazer with bold triangle pattern.,"Power dressing meets effortless charm with the Suri Blazer. Crafted from soft, breathable fabric, this double-breasted statement piece blends sophistication with comfort. The bold triangle pattern adds a touch of confidence, while functional pockets bring practicality to your style. Whether you're commanding the boardroom, layering it over a dress for a chic evening look, or pairing it with denim for an elevated casual vibe, this blazer is the ultimate wardrobe essential. Tailored to perfection, it's a must-have for women who dress with intention.","Blazer, Kora, off-white, Ikat, Cotton, Handwoven, women, double breasted, natural dye",Women,"Office, Formal meetings, Networking events, Conferences, Gala Dinners, Award Nights, Charity Balls AND Luxury Events, Corporate Celebrations, Launch Events, Brunches, High Tea events","Women, Outerwear, Jackets & Blazers",https://thechicindian.com/product-details-sku/da23ja007,23-11-2025 11:26,23-11-2025 11:26
15,151,Dahlia,82,da23ja001,Indigo Arani jacket,6204,100% Handwoven AND Natural Dyed Malkha,INDIGO,1,"da23ja001, da23ja001xsindigo, da23ja001sindigo, da23ja001mindigo, da23ja001lindigo, da23ja001xlindigo, da23ja0012xlindigo, da23ja0013xlindigo","Crafted from handwoven cotton fabrics, this unique jacket with delicate frill detailing.","Make a statement with the Arani Jacket-a perfect blend of playful charm and effortless elegance. Crafted from handwoven cotton fabrics, this unique jacket features delicate frill detailing that adds a touch of drama while maintaining a sophisticated silhouette. Designed for both style and comfort, its versatile cut makes it ideal for layering over dresses, tops, or coord sets. Whether you're dressing up for an evening out or adding flair to your everyday look, the Arani Jacket is the ultimate wardrobe essential for those who love to stand out with grace and confidence.","Jacket, Ruffles,Striped, Indigo, Handmade, Handwoven, Frill detail, women, indigo",Women,"Office parties, Date nights, Romantic Dinners, Anniversaries, First dates, Art Exhibitions, Literature Festivals, Theatre opera, parties, New Year's Celebrations, dinner, Brunches, High Tea events","Women, Outerwear, Jackets & Blazers",https://thechicindian.com/product-details-sku/da23ja001,23-11-2025 11:26,23-11-2025 11:26
16,160,Dahlia,82,da23dr007,Indigo Elio Dress,6204,"100% Handwoven & Natural Dyed Malkha, 100% Handwoven Cotton Ikat, 100% Handwoven AND Natural Dyed Malkha, 100% Handwoven Cotton Ikat",INDIGO,1,"da23dr007, da23dr007xsindigo, da23dr007sindigo, da23dr007mindigo, da23dr007lindigo, da23dr007xlindigo, da23dr0072xlindigo, da23dr0073xlindigo",An indigo flared maxi dress.,"A timeless blend of sophistication and comfort, the Elio Dress is designed to flatter all body types. Made from breathable, handwoven fabric, it drapes beautifully, ensuring effortless movement and all-day ease. Whether styled for a chic daytime look or an elegant evening ensemble, this versatile piece is your go-to for every occasion. Thoughtfully crafted for modern women who value style, sustainability, and confidence.","Dress, Maxi Dress, Summer, Indigo, Handwoven, cotton, natural dye, women, v neck, dress with pockets",Women,"Office parties, Date nights, Romantic Dinners, Anniversaries, First dates, Destination weddings, Vacations, Cruise Getaways, Summer Escapes, Art Exhibitions, Brunches, High Tea events","Women, Dresses",https://thechicindian.com/product-details-sku/da23dr007,23-11-2025 11:26,23-11-2025 11:26
17,169,Dahlia,82,da23dr008,Red Elio Dress,6204,"100% Handwoven AND Natural Dyed Malkha, 100% Handwoven Cotton Ikat, women,",RED,1,"da23dr008, da23dr008xsred, da23dr008sred, da23dr008mred, da23dr008lred, da23dr008xlred, da23dr0082xlred, da23dr0083xlred",A red flared maxi dress.,"A timeless blend of sophistication and comfort, the Elio Dress is designed to flatter all body types. Made from breathable, handwoven fabric, it drapes beautifully, ensuring effortless movement and all-day ease. Functional pockets on both sides add a touch of practicality-because style should never compromise convenience. Whether styled for a chic daytime look or an elegant evening ensemble, this versatile piece is your go-to for every occasion. Thoughtfully crafted for modern women who value style, sustainability, and confidence.","Dress, Maxi Dress, Summer, Red, Handwoven, cotton, natural dye, women, v neck, dress with pockets",Women,"Office parties, Date nights, Romantic Dinners, Anniversaries, First dates, Destination weddings, Vacations, Cruise Getaways, Summer Escapes, Art Exhibitions, Brunches, High Tea events","Women, Dresses",https://thechicindian.com/product-details-sku/da23dr008,23-11-2025 11:26,23-11-2025 11:26
18,178,Dahlia,82,da23dr009,Kora Elio Dress,6204,"100% Handwoven & Natural Dyed Malkha, 100% Handwoven Cotton Ikat, A timeless blend of sophistication and comfort, the Elio Dress is designed to flatter all body types. Made from breathable, handwoven fabric, it drapes beautifully, ensuring effortless movement and all-day ease. Functional pockets on both sides add a touch of practicality—because style should never compromise convenience. Whether styled for a chic daytime look or an elegant evening ensemble, this versatile piece is your go-to for every occasion. Thoughtfully crafted for modern women who value style, sustainability, and confidence.",Off White,1,"da23dr009, da23dr009xskoraelio, da23dr009skoraelio, da23dr009mkoraelio, da23dr009lkoraelio, da23dr009xlkoraelio, da23dr0092xlkoraelio, da23dr0093xlkoraelio",A red ikat printed maxi dress.,"A timeless blend of sophistication and comfort, the Elio Dress is designed to flatter all body types. Made from breathable, handwoven fabric, it drapes beautifully, ensuring effortless movement and all-day ease. Functional pockets on both sides add a touch of practicality-because style should never compromise convenience. Whether styled for a chic daytime look or an elegant evening ensemble, this versatile piece is your go-to for every occasion. Thoughtfully crafted for modern women who value style, sustainability, and confidence.","Dress, Maxi Dress, Summer, Kora, Off- white, Handwoven, prints, checks, cotton, natural dye, women, v neck, dress with pockets",Women,"Office parties, Date nights, Romantic Dinners, Anniversaries, First dates, Destination weddings, Vacations, Cruise Getaways, Summer Escapes, Art Exhibitions, Brunches, High Tea events","Women, Dresses",https://thechicindian.com/product-details-sku/da23dr009,23-11-2025 11:26,23-11-2025 11:26
19,187,Dahlia,82,da23dr001,Indigo Alba Dress,6204,"100% Handwoven AND Natural Dyed Malkha, 100% Handwoven Cotton Ikat",INDIGO,1,"da23dr001, da23dr001xsindigo, da23dr001sindigo, da23dr001mindigo, da23dr001lindigo, da23dr001xlindigo, da23dr0012xlindigo, da23dr0013xlindigo","A pattern-blocked shirt dress offers a sleek, structured silhouette with origami-inspired sleeves.","Make a bold statement with our Alba Dress, a stunning fusion of modern minimalism and artisanal craftsmanship. Designed in natural cotton fabric, this pattern-blocked shirt dress offers a sleek, structured silhouette with origami-inspired sleeves that add a touch of architectural elegance. The unique fabric belt cinches the waist for a flattering fit, while deep front pockets ensure both style and practicality. Whether you're dressing up for a chic event or keeping it effortlessly cool for the day, the Alba Dress is the ultimate wardrobe essential.","Shirt Dress, Midi Dress, Summer, Indigo, Handwoven, block print, cotton, natural dye, women, v neck, dress with pockets, origami sleeves, fabric belt",Women,"Office, Formal meetings, Networking events, Conferences, Corporate Celebrations, Launch Events, Brunches, High Tea events, Beach AND Resort Vacations, Cruise Getaways, Summer Escapes, Art Exhibitions and Literature Festivals, Theatre opera","Women, Dresses",https://thechicindian.com/product-details-sku/da23dr001,23-11-2025 11:26,23-11-2025 11:26
20,196,Dahlia,82,da23dr002,Red Alba Dress,6204,"100% Handwoven AND Natural Dyed Malkha, 100% Handwoven Cotton Ikat",RED,1,"da23dr002, da23dr002xsred, da23dr002sred, da23dr002mred, da23dr002lred, da23dr002xlred, da23dr0022xlred, da23dr0023xlred","A red pattern-blocked shirt dress offers a sleek, structured silhouette with origami-inspired sleeves.","Make a bold statement with our Alba Dress, a stunning fusion of modern minimalism and artisanal craftsmanship. Designed in natural cotton fabric, this pattern-blocked shirt dress offers a sleek, structured silhouette with origami-inspired sleeves that add a touch of architectural elegance. The unique fabric belt cinches the waist for a flattering fit, while deep front pockets ensure both style and practicality. Whether you're dressing up for a chic event or keeping it effortlessly cool for the day, the Alba Dress is the ultimate wardrobe essential.","Shirt Dress, Midi Dress, Summer, Red, Handwoven, block print, cotton, natural dye, women, v neck, dress with pockets, origami sleeves, fabric belt",Women,"Office, Formal meetings, Networking events, Conferences, Corporate Celebrations, Launch Events, Brunches, High Tea events, Beach AND Resort Vacations, Cruise Getaways, Summer Escapes, Art Exhibitions and Literature Festivals, Theatre opera","Women, Dresses",https://thechicindian.com/product-details-sku/da23dr002,23-11-2025 11:26,23-11-2025 11:26
21,205,Dahlia,82,da23dr003,Sunshine Alba Dress,6204,"100% Handwoven AND Natural Dyed Malkha, 100% Handwoven Cotton Ikat",YELLOW,1,"da23dr003, da23dr003xsyellow, da23dr003syellow, da23dr003myellow, da23dr003lyellow, da23dr003xlyellow, da23dr0032xlyellow, da23dr0033xlyellow","A yellow pattern-blocked shirt dress offers a sleek, structured silhouette with origami-inspired.","Make a bold statement with our Alba Dress, a stunning fusion of modern minimalism and artisanal craftsmanship. Designed in natural cotton fabric, this pattern-blocked shirt dress offers a sleek, structured silhouette with origami-inspired sleeves that add a touch of architectural elegance. The unique fabric belt cinches the waist for a flattering fit, while deep front pockets ensure both style and practicality. Whether you're dressing up for a chic event or keeping it effortlessly cool for the day, the Alba Dress is the ultimate wardrobe essential.","Shirt Dress, Midi Dress, Summer, Yellow, Handwoven, block print, cotton, natural dye, women, v neck, dress with pockets, origami sleeves, fabric belt",Women,"Office, Formal meetings, Networking events, Conferences, Corporate Celebrations, Launch Events, Brunches, High Tea events, Beach AND Resort Vacations, Cruise Getaways, Summer Escapes, Art Exhibitions and Literature Festivals, Theatre opera","Women, Dresses",https://thechicindian.com/product-details-sku/da23dr003,23-11-2025 11:26,23-11-2025 11:26
22,214,Dahlia,82,da23dr010,Red Helene Dress,6204,100% Handwoven Cotton Ikat,RED,1,"da23dr010, da23dr010xsred, da23dr010sred, da23dr010mred, da23dr010lred, da23dr010xlred, da23dr0102xlred, da23dr0103xlred",A delicate polka dot handwoven relaxed-fit midi dress.,"Turn heads with the Helene Dress-a classy, statement-making piece designed for effortless elegance. Handwoven by skilled Indian artisans, the delicate polka dot detailing adds a touch of timeless charm. The elongated V-neckline, side slits, and elasticated waist with a chic ring detail create a flattering, flowy silhouette that moves with you. Designed for both style and function, this relaxed-fit midi dress features short sleeves and deep inseam pockets, making it as practical as it is beautiful. Perfect for laid-back evenings, holiday getaways, or summer soires, the Helene Dress is your go-to piece for understated luxury with a modern twist.","Dress, Maxi Dress, Midi Dress, Summer, Red, Handwoven, Polka Dots, block print, cotton, natural dye, women, v neck, dress with pockets, side slit, keyhole, resort wear",Women,"Date nights, Romantic Dinners, Anniversaries, First dates, Beach AND Resort Vacations, Cruise Getaways, Summer Escapes, Art Exhibitions, House Parties, Dinners, Luxury Getaway","Women, Dresses",https://thechicindian.com/product-details-sku/da23dr010,23-11-2025 11:26,23-11-2025 11:26
23,223,Dahlia,82,ra23dr015,Pink Aida Dress,6204,100% Handwoven Cotton Ikat,PINK,1,"ra23dr015, ra23dr015xspink, ra23dr015spink, ra23dr015mpink, ra23dr015lpink, ra23dr015xlpink, ra23dr0152xlpink, ra23dr0153xlpink",A short pink ikat handloom dress with playful frills.,"Introducing our delightful Aida Ikat dress, a perfect blend of tradition and contemporary style, tailored for the festive season. The playful frills add a fun and flirty element to the dress, making it an ideal choice for festive gatherings and celebrations. The lightweight and breathable fabric ensure comfort without compromising on style, allowing you to dance the night away with ease. The Ikat handloom dress is a celebration of artistry and joy, bringing a burst of color and energy to your festive wardrobe. Embrace the festivities in style with this unique and charming ensemble that effortlessly captures the spirit of the season.","Dress, Pink, Frill, Party, Short Dress, handwoven, cotton, natural dye, women, v neck, dress with pockets, fabric belt",Women,"Office, Office parties, Date nights, Romantic Dinners, Anniversaries, First dates,  Cruise Getaways, Summer Escapes, Art Exhibitions, Literature Festivals, After Parties, New Year's Celebrations, Cocktails,  Brunches, High Tea events","Women, Dresses",https://thechicindian.com/product-details-sku/ra23dr015,23-11-2025 11:26,23-11-2025 11:26
24,232,Dahlia,82,ra24dr004,Blue Aida Dress,6204,100% Handwoven Cotton Ikat,BLUE,1,"ra24dr004, ra24dr004xsblue, ra24dr004sblue, ra24dr004mblue, ra24dr004lblue, ra24dr004xlblue, ra24dr0042xlblue, ra24dr0043xlblue",A short blue ikat handloom dress with playful frills.,"Introducing our delightful Aida Ikat dress, a perfect blend of tradition and contemporary style, tailored for the festive season. The playful frills add a fun and flirty element to the dress, making it an ideal choice for festive gatherings and celebrations. The lightweight and breathable fabric ensure comfort without compromising on style, allowing you to dance the night away with ease. The Ikat handloom dress is a celebration of artistry and joy, bringing a burst of color and energy to your festive wardrobe. Embrace the festivities in style with this unique and charming ensemble that effortlessly captures the spirit of the season.","Dress, Blue, Frill, Party, Short Dress, handwoven, cotton, natural dye, women, v neck, dress with pockets, fabric belt",Women,"Office, Office parties, Date nights, Romantic Dinners, Anniversaries, First dates,  Cruise Getaways, Summer Escapes, Art Exhibitions, Literature Festivals, After Parties, New Year's Celebrations, Cocktails,  Brunches, High Tea events","Women, Dresses",https://thechicindian.com/product-details-sku/ra24dr004,23-11-2025 11:26,23-11-2025 11:26
